round,date,reward,wealth,AGG_ret,DBC_ret,SPY_ret,AGG_weight,DBC_weight,SPY_weight,,,,,
0,2006/4/30,30286.20779,1013936.638,-0.001490257,0.070175297,0.012632247,0.139930964,0.057010651,0.803058386,,,,,
0,2006/5/31,-17614.12598,988893.7267,-0.001986142,-0.003903019,-0.030121696,0.328889549,0.372327447,0.298783004,,0.313308207,0.200625382,0.486066414,訓練期
0,2006/6/30,-4721.115585,998295.5321,-0.001607886,-0.008620907,0.002608776,0.745997131,0.103976771,0.150026098,,,,,
0,2006/7/31,31159.7081,1014834.015,0.013889557,0.0221345,0.004478208,0.50423646,0.317748547,0.178015023,,0.319886114,0.199655704,0.480458182,全時期
0,2006/8/31,35162.83493,1008104.233,0.015908879,-0.033256101,0.021822363,0.719725788,0.17179206,0.108482145,,,,,
0,2006/9/30,28049.86809,1008939.834,0.010115184,-0.041999864,0.027001728,0.262065291,0.197626114,0.540308595,,0.358157574,0.194013947,0.447828473,測試期
0,2006/10/31,63482.69952,1023019.574,0.006857996,0.010020954,0.031516282,0.225057721,0.137107506,0.637834787,,,,,
0,2006/11/30,55000.18827,1023537.69,0.010619095,0.065729469,0.019885556,0.153416783,0.110674776,0.735908449,,,,,
0,2006/12/31,20207.94604,1005827.172,-0.006005223,-0.02319928,0.013370841,0.254471987,0.071451873,0.67407614,,,,,
0,2007/1/31,4130.002809,1001613.117,-0.000702201,-0.024003345,0.015040814,0.456749916,0.159744143,0.383505881,,,,,
0,2007/2/28,-2294.084616,998481.1193,0.01625359,0.050854613,-0.019617685,0.288311601,0.110067353,0.601621032,,,,,
0,2007/3/31,8338.817489,1001939.597,-0.001951102,0.006743297,0.011589455,0.669537723,0.12049634,0.209965929,,,,,
0,2007/4/30,87502.37632,1029579.434,0.005897857,0.00748624,0.044295506,0.275912285,0.111974262,0.612113476,,,,,
0,2007/5/31,16506.21788,1004965.935,-0.009171975,-0.002346584,0.033919813,0.451176137,0.262278378,0.286545485,,,,,
0,2007/6/30,-11075.68969,994782.7886,-0.003767516,0.00744809,-0.014620394,0.419068485,0.220000759,0.360930741,,,,,
0,2007/7/31,-26121.62663,978192.3127,0.010729788,0.019066243,-0.031310089,0.159586564,0.055450726,0.784962773,,,,,
0,2007/8/31,6008.094384,1003938.653,0.012795104,-0.019091304,0.012832573,0.289037049,0.278258473,0.432704419,,,,,
0,2007/9/30,58505.42441,1031099.283,0.006329137,0.094200067,0.038714123,0.354748845,0.069813997,0.575437188,,,,,
0,2007/10/31,68474.7673,1019914.199,0.010079343,0.085023076,0.013566203,0.515975535,0.11401464,0.370009869,,,,,
0,2007/11/30,-18140.5592,984219.885,0.018035002,-0.006229459,-0.038731993,0.261687279,0.249109134,0.489203602,,,,,
0,2007/12/31,3116.177069,1002726.402,-9.26E-05,0.067042261,-0.011260801,0.093493126,0.165294349,0.741212547,,,,,
0,2008/1/31,-8160.461371,993488.2333,0.023129667,0.029150886,-0.060461129,0.189091414,0.425646722,0.385261863,,,,,
0,2008/2/29,60690.55242,1046638.033,-0.001600938,0.111453128,-0.025842666,0.270010918,0.480241716,0.249747351,,,,,
0,2008/3/31,-5569.087477,991564.697,0.001297255,-0.009141148,-0.008942012,0.052375339,0.148519605,0.799105108,,,,,
0,2008/4/30,50026.99875,1036740.892,0.00327526,0.060385686,0.047662094,0.258374393,0.043008309,0.69861728,,,,,
0,2008/5/31,34422.79225,1021466.231,-0.012651777,0.069074537,0.015116974,0.08656618,0.162221774,0.75121206,,,,,
0,2008/6/30,-63168.86741,983431.3725,-0.001849387,0.104315873,-0.083576274,0.656574667,0.071039923,0.272385418,,,,,
0,2008/7/31,-53070.82041,955327.495,0.003939158,-0.097811566,-0.008985728,0.105099574,0.417054057,0.477846473,,,,,
0,2008/8/31,-20982.33614,988550.2921,0.007419711,-0.065346506,0.015453637,0.477298975,0.285503954,0.237197071,,,,,
